#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,06/22/2023 14:21:07,37.62,17699.84
2,06/22/2023 15:21:07,40.54,42721.28
3,06/22/2023 16:21:07,40.37,50278.40
4,06/22/2023 17:21:07,37.15,25712.64
5,06/22/2023 18:21:07,29.77,15979.52
6,06/22/2023 19:21:07,26.47,6543.36
7,06/22/2023 20:21:07,22.01,805.44
8,06/22/2023 21:21:07,20.89,0.80
9,06/22/2023 22:21:07,20.46,0.00
10,06/22/2023 23:21:07,18.62,0.00
11,06/23/2023 00:21:07,18.74,0.00
12,06/23/2023 01:21:07,18.36,0.00
13,06/23/2023 02:21:07,18.23,0.00
14,06/23/2023 03:21:07,17.37,0.00
15,06/23/2023 04:21:07,16.99,0.00
16,06/23/2023 05:21:07,17.20,47.02
17,06/23/2023 06:21:07,18.44,2781.44
18,06/23/2023 07:21:07,23.21,8094.72
19,06/23/2023 08:21:07,23.55,11468.80
20,06/23/2023 09:21:07,26.68,13798.40
21,06/23/2023 10:21:07,33.72,28825.60
22,06/23/2023 11:21:07,34.15,31866.88
23,06/23/2023 12:21:07,31.10,19957.76
24,06/23/2023 13:21:07,25.39,10316.80
25,06/23/2023 14:21:07,42.43,29952.00
26,06/23/2023 15:21:07,32.04,32614.40
27,06/23/2023 16:21:07,29.73,17592.32
28,06/23/2023 17:21:07,26.08,7326.72
29,06/23/2023 18:21:07,25.31,6497.28
30,06/23/2023 19:21:07,22.56,2202.24
31,06/23/2023 20:21:07,21.15,695.36
32,06/23/2023 21:21:07,19.26,1.20
33,06/23/2023 22:21:07,19.30,0.00
34,06/23/2023 23:21:07,18.92,0.00
35,06/24/2023 00:21:07,19.09,0.00
36,06/24/2023 01:21:07,19.05,0.00
37,06/24/2023 02:21:07,19.09,0.00
38,06/24/2023 03:21:07,19.13,0.00
39,06/24/2023 04:21:07,19.00,0.00
40,06/24/2023 05:21:07,19.09,23.81
41,06/24/2023 06:21:07,19.56,1350.40
42,06/24/2023 07:21:07,20.37,3214.08
