#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,06/22/2023 14:26:15,36.81,44113.92
2,06/22/2023 15:26:15,41.35,32327.68
3,06/22/2023 16:26:15,39.25,41512.96
4,06/22/2023 17:26:15,33.63,18575.36
5,06/22/2023 18:26:15,30.63,15211.52
6,06/22/2023 19:26:15,25.69,5212.16
7,06/22/2023 20:26:15,21.70,506.72
8,06/22/2023 21:26:15,20.93,0.00
9,06/22/2023 22:26:15,20.72,0.00
10,06/22/2023 23:26:15,18.19,0.00
11,06/23/2023 00:26:15,19.00,0.00
12,06/23/2023 01:26:15,18.62,0.00
13,06/23/2023 02:26:15,18.66,0.00
14,06/23/2023 03:26:15,17.93,0.00
15,06/23/2023 04:26:15,17.46,0.00
16,06/23/2023 05:26:15,17.72,66.52
17,06/23/2023 06:26:15,19.05,2667.52
18,06/23/2023 07:26:15,22.13,7859.20
19,06/23/2023 08:26:15,23.89,11310.08
20,06/23/2023 09:26:15,25.01,10552.32
21,06/23/2023 10:26:15,32.13,30177.28
22,06/23/2023 11:26:15,32.13,19287.04
23,06/23/2023 12:26:15,29.86,18606.08
24,06/23/2023 13:26:15,24.45,7767.04
25,06/23/2023 14:26:15,34.66,22343.68
26,06/23/2023 15:26:15,31.27,25538.56
27,06/23/2023 16:26:15,29.00,9669.12
28,06/23/2023 17:26:15,26.08,9512.96
29,06/23/2023 18:26:15,24.88,4546.56
30,06/23/2023 19:26:15,22.65,1152.96
31,06/23/2023 20:26:15,21.32,503.84
32,06/23/2023 21:26:15,19.52,0.20
33,06/23/2023 22:26:15,19.39,0.00
34,06/23/2023 23:26:15,19.09,0.00
35,06/24/2023 00:26:15,19.26,0.00
36,06/24/2023 01:26:15,19.13,0.00
37,06/24/2023 02:26:15,19.13,0.00
38,06/24/2023 03:26:15,19.17,0.00
39,06/24/2023 04:26:15,19.05,0.00
40,06/24/2023 05:26:15,19.22,40.80
41,06/24/2023 06:26:15,19.73,1256.32
42,06/24/2023 07:26:15,20.55,2887.68
43,06/24/2023 08:26:15,21.88,5847.04
44,06/24/2023 09:26:15,21.83,5475.84
45,06/24/2023 10:26:15,25.69,17326.08
46,06/24/2023 11:26:15,30.24,19645.44
47,06/24/2023 12:26:15,27.41,14074.88
48,06/24/2023 13:26:15,31.70,27381.76
49,06/24/2023 14:26:15,38.95,14039.04
50,06/24/2023 15:26:15,41.40,24320.00
51,06/24/2023 16:26:15,31.14,7326.72
52,06/24/2023 17:26:15,23.76,5178.88
53,06/24/2023 18:26:15,23.42,3610.88
