#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
134,07/19/2023 00:38:39,16.81,0.00
135,07/19/2023 01:38:39,13.17,0.00
136,07/19/2023 02:38:39,12.91,0.00
137,07/19/2023 03:38:39,13.25,0.00
138,07/19/2023 04:38:39,12.74,0.00
139,07/19/2023 05:38:39,14.88,121.80
140,07/19/2023 06:38:39,15.70,4288.00
141,07/19/2023 07:38:39,19.39,9728.00
142,07/19/2023 08:38:39,23.34,20556.80
143,07/19/2023 09:38:39,33.16,50831.36
144,07/19/2023 10:38:39,36.81,29941.76
145,07/19/2023 11:38:39,33.07,14868.48
146,07/19/2023 12:38:39,41.52,68423.68
147,07/19/2023 13:38:39,38.44,51855.36
148,07/19/2023 14:38:39,37.32,29829.12
149,07/19/2023 15:38:39,38.31,56750.08
150,07/19/2023 16:38:39,32.39,18498.56
151,07/19/2023 17:38:39,29.56,13301.76
152,07/19/2023 18:38:39,32.39,20730.88
153,07/19/2023 19:38:39,26.51,5675.52
154,07/19/2023 20:38:39,16.90,310.16
155,07/19/2023 21:38:39,14.67,0.00
156,07/19/2023 22:38:39,12.65,0.00
157,07/19/2023 23:38:39,11.07,0.00
158,07/20/2023 00:38:39,10.34,0.00
159,07/20/2023 01:38:39,11.02,0.00
160,07/20/2023 02:38:39,10.38,0.00
161,07/20/2023 03:38:39,11.67,0.00
162,07/20/2023 04:38:39,12.35,0.00
163,07/20/2023 05:38:39,10.51,139.72
164,07/20/2023 06:38:39,16.56,9809.92
165,07/20/2023 07:38:39,19.39,11243.52
166,07/20/2023 08:38:39,26.85,21504.00
167,07/20/2023 09:38:39,37.54,47656.96
168,07/20/2023 10:38:39,40.62,31549.44
169,07/20/2023 11:38:39,44.23,33935.36
170,07/20/2023 12:38:39,42.81,66805.76
171,07/20/2023 13:38:39,40.67,22220.80
172,07/20/2023 14:38:39,41.05,71720.96
173,07/20/2023 15:38:39,42.08,34600.96
174,07/20/2023 16:38:39,33.03,15948.80
175,07/20/2023 17:38:39,34.15,15575.04
176,07/20/2023 18:38:39,33.93,17095.68
177,07/20/2023 19:38:39,24.36,3809.28
178,07/20/2023 20:38:39,21.36,108.24
179,07/20/2023 21:38:39,20.98,0.00
180,07/20/2023 22:38:39,22.35,0.00
181,07/20/2023 23:38:39,16.77,0.00
182,07/21/2023 00:38:39,16.26,0.00
