#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,06/22/2023 14:25:05,36.33,38369.28
2,06/22/2023 15:25:05,42.94,83886.08
3,06/22/2023 16:25:05,38.22,51998.72
4,06/22/2023 17:25:05,34.88,17648.64
5,06/22/2023 18:25:05,30.24,16885.76
6,06/22/2023 19:25:05,25.44,6136.32
7,06/22/2023 20:25:05,21.36,619.20
8,06/22/2023 21:25:05,20.72,18.15
9,06/22/2023 22:25:05,20.33,17.74
10,06/22/2023 23:25:05,17.89,15.89
11,06/23/2023 00:25:05,18.74,13.60
12,06/23/2023 01:25:05,18.40,12.37
13,06/23/2023 02:25:05,18.40,7.02
14,06/23/2023 03:25:05,17.50,0.00
15,06/23/2023 04:25:05,17.03,0.00
16,06/23/2023 05:25:05,17.24,65.52
17,06/23/2023 06:25:05,18.70,2850.56
18,06/23/2023 07:25:05,21.92,7552.00
19,06/23/2023 08:25:05,23.34,11545.60
20,06/23/2023 09:25:05,24.92,11745.28
21,06/23/2023 10:25:05,31.92,36659.20
22,06/23/2023 11:25:05,34.06,40826.88
23,06/23/2023 12:25:05,30.03,27545.60
24,06/23/2023 13:25:05,24.41,8427.52
25,06/23/2023 14:25:05,35.65,24371.20
26,06/23/2023 15:25:05,31.66,30996.48
27,06/23/2023 16:25:05,29.17,11873.28
28,06/23/2023 17:25:05,25.87,11202.56
29,06/23/2023 18:25:05,24.66,5245.44
30,06/23/2023 19:25:05,22.48,1871.36
31,06/23/2023 20:25:05,20.98,604.00
32,06/23/2023 21:25:05,19.26,19.80
33,06/23/2023 22:25:05,19.17,15.04
34,06/23/2023 23:25:05,18.87,13.42
35,06/24/2023 00:25:05,19.05,11.54
36,06/24/2023 01:25:05,19.00,8.05
37,06/24/2023 02:25:05,18.92,0.00
38,06/24/2023 03:25:05,18.96,0.00
39,06/24/2023 04:25:05,18.83,0.00
40,06/24/2023 05:25:05,18.96,47.98
41,06/24/2023 06:25:05,19.47,1598.72
42,06/24/2023 07:25:05,20.25,3818.24
43,06/24/2023 08:25:05,21.79,7979.52
44,06/24/2023 09:25:05,21.49,7590.40
45,06/24/2023 10:25:05,24.88,20321.28
46,06/24/2023 11:25:05,29.77,51671.04
47,06/24/2023 12:25:05,26.72,16890.88
48,06/24/2023 13:25:05,30.93,29675.52
49,06/24/2023 14:25:05,39.08,17274.88
50,06/24/2023 15:25:05,40.15,61665.28
51,06/24/2023 16:25:05,29.47,8913.92
52,06/24/2023 17:25:05,23.25,5667.84
53,06/24/2023 18:25:05,22.95,4084.48
54,06/24/2023 19:25:05,21.36,3005.44
55,06/24/2023 20:25:05,20.59,1143.04
56,06/24/2023 21:25:05,19.43,20.62
57,06/24/2023 22:25:05,19.99,17.74
58,06/24/2023 23:25:05,19.56,15.07
59,06/25/2023 00:25:05,15.23,12.98
60,06/25/2023 01:25:05,17.16,11.34
61,06/25/2023 02:25:05,18.92,2.67
62,06/25/2023 03:25:05,18.83,0.00
63,06/25/2023 04:25:05,17.93,0.00
64,06/25/2023 05:25:05,18.70,81.96
65,06/25/2023 06:25:05,19.26,2845.44
66,06/25/2023 07:25:05,22.52,8110.08
67,06/25/2023 08:25:05,26.90,24657.92
68,06/25/2023 09:25:05,25.57,10639.36
69,06/25/2023 10:25:05,33.85,29849.60
70,06/25/2023 11:25:05,31.74,34027.52
71,06/25/2023 12:25:05,45.69,93593.60
72,06/25/2023 13:25:05,37.02,10414.08
73,06/25/2023 14:25:05,45.77,80322.56
74,06/25/2023 15:25:05,46.12,26439.68
75,06/25/2023 16:25:05,30.67,10014.72
76,06/25/2023 17:25:05,28.27,6952.96
77,06/25/2023 18:25:05,23.72,2625.28
78,06/25/2023 19:25:05,19.99,688.64
79,06/25/2023 20:25:05,19.26,754.56
80,06/25/2023 21:25:05,19.17,19.39
81,06/25/2023 22:25:05,19.00,20.21
82,06/25/2023 23:25:05,18.57,15.04
83,06/26/2023 00:25:05,18.57,14.63
