#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
1,06/22/2023 14:16:46,36.72,22138.88
2,06/22/2023 15:16:46,36.46,30873.60
3,06/22/2023 16:16:46,35.60,35389.44
4,06/22/2023 17:16:46,35.05,32266.24
5,06/22/2023 18:16:46,29.94,13066.24
6,06/22/2023 19:16:46,26.04,7173.12
7,06/22/2023 20:16:46,22.26,951.68
8,06/22/2023 21:16:46,21.36,1.59
9,06/22/2023 22:16:46,20.63,0.00
10,06/22/2023 23:16:46,19.09,0.00
11,06/23/2023 00:16:46,19.39,0.00
12,06/23/2023 01:16:46,18.87,0.00
13,06/23/2023 02:16:46,18.49,0.00
14,06/23/2023 03:16:46,17.93,0.00
15,06/23/2023 04:16:46,17.20,0.00
16,06/23/2023 05:16:46,17.76,24.90
17,06/23/2023 06:16:46,18.53,2083.84
18,06/23/2023 07:16:46,22.26,8634.88
19,06/23/2023 08:16:46,22.99,10393.60
20,06/23/2023 09:16:46,25.18,14085.12
21,06/23/2023 10:16:46,29.94,31016.96
22,06/23/2023 11:16:46,31.31,21770.24
23,06/23/2023 12:16:46,30.07,15206.40
24,06/23/2023 13:16:46,24.36,6840.32
25,06/23/2023 14:16:46,36.12,35983.36
26,06/23/2023 15:16:46,30.33,18626.56
27,06/23/2023 16:16:46,30.54,15027.20
28,06/23/2023 17:16:46,26.08,7523.84
29,06/23/2023 18:16:46,24.97,8232.96
30,06/23/2023 19:16:46,22.48,2088.96
31,06/23/2023 20:16:46,21.19,921.28
32,06/23/2023 21:16:46,19.65,3.19
33,06/23/2023 22:16:46,19.35,0.00
34,06/23/2023 23:16:46,19.05,0.00
35,06/24/2023 00:16:46,19.17,0.00
36,06/24/2023 01:16:46,19.13,0.00
37,06/24/2023 02:16:46,19.17,0.00
38,06/24/2023 03:16:46,19.22,0.00
39,06/24/2023 04:16:46,19.13,0.00
40,06/24/2023 05:16:46,19.13,13.85
41,06/24/2023 06:16:46,19.56,1473.92
42,06/24/2023 07:16:46,20.29,3567.36
43,06/24/2023 08:16:46,22.13,9812.48
44,06/24/2023 09:16:46,21.28,8181.76
45,06/24/2023 10:16:46,25.01,24135.68
46,06/24/2023 11:16:46,27.97,37672.96
47,06/24/2023 12:16:46,28.91,25856.00
48,06/24/2023 13:16:46,30.11,26685.44
49,06/24/2023 14:16:46,35.95,44154.88
50,06/24/2023 15:16:46,32.86,19609.60
51,06/24/2023 16:16:46,34.45,35225.60
52,06/24/2023 17:16:46,24.06,6451.20
53,06/24/2023 18:16:46,23.38,4812.80
54,06/24/2023 19:16:46,21.79,3272.96
55,06/24/2023 20:16:46,21.06,1438.72
56,06/24/2023 21:16:46,19.47,1.99
57,06/24/2023 22:16:46,20.25,0.00
58,06/24/2023 23:16:46,19.95,0.00
